person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
23,0,3,0.056162364,2,0,0.040909091,1,9.25,0.08,4,615,0,0
21,1,4,0.054575003,0,2,0.181818182,5,12.98,0.27,4,601,0,1
23,1,3,0.061447271,1,2,0.159090909,0,11.01,0.23,3,580,0,1
21,1,4,0.063040931,0,2,0.113636364,2,11.01,0.17,4,635,0,1
22,0,1,0.063947995,0,2,0.159090909,3,10.99,0.22,3,585,0,1
25,1,3,0.065818814,1,2,0.221590909,1,5.79,0.29,2,645,0,1
21,0,3,0.065642441,1,0,0.045454545,3,11.01,0.08,4,623,0,0
23,1,4,0.066215654,1,2,0.159090909,2,16.7,0.22,2,566,0,1
22,1,4,0.065302292,0,2,0.072727273,4,11.14,0.11,4,583,0,0
23,1,4,0.068225053,0,0,0.25,0,11.01,0.32,4,667,0,1
23,0,4,0.069289593,2,2,0.180681818,3,11.01,0.24,4,647,0,1
23,0,1,0.070391927,1,0,0.056818182,3,12.68,0.09,3,587,1,0
23,1,3,0.069680134,2,2,0.159090909,0,13.98,0.21,4,667,0,1
23,0,0,0.068823463,0,2,0.186363636,5,10.99,0.24,2,688,0,1
25,1,3,0.070284843,4,2,0.056818182,2,15.31,0.09,4,625,1,0
23,1,3,0.069699031,3,0,0.140909091,4,13.47,0.19,4,540,0,1
21,1,4,0.067859707,0,2,0.121590909,2,11.54,0.17,3,686,0,1
21,0,0,0.070354133,2,0,0.045454545,1,10.59,0.08,2,537,1,0
23,0,0,0.071254898,4,0,0.104545455,4,8.49,0.14,3,661,0,1
22,0,4,0.068804566,0,2,0.090909091,2,12.53,0.13,3,618,0,1
25,0,4,0.969386598,0,3,0.204545455,3,16.49,0.03,2,609,0,1
21,0,3,0.071897401,2,2,0.022727273,5,7.29,0.05,4,681,1,0
24,1,0,0.073554052,3,2,0.127272727,2,6.39,0.17,4,637,0,1
25,1,3,0.071954092,3,2,0.122727273,5,18.09,0.16,2,586,0,1
23,1,0,0.075865805,3,2,0.25,3,7.9,0.3,2,618,0,1
23,0,1,0.078114567,4,0,0.080681818,0,13.06,0.11,4,573,1,0
23,0,3,0.078240548,0,0,0.231818182,3,12.84,0.27,4,587,0,1
24,1,4,0.077812213,2,2,0.142045455,5,17.14,0.18,2,648,0,1
22,1,4,0.077459466,0,0,0.227272727,5,7.14,0.27,3,687,0,1
22,0,3,0.078139763,0,2,0.068181818,4,12.42,0.1,3,590,1,0
25,1,0,0.076980737,5,2,0.204545455,4,8.94,0.25,4,572,0,1
23,1,1,0.079859405,0,2,0.176136364,5,9.63,0.21,4,528,0,1
22,1,3,0.081232599,0,0,0.068181818,1,10.65,0.1,2,596,0,0
25,1,4,0.908493644,2,0,0.431818182,3,14.09,0.07,4,639,0,1
24,1,1,0.085837207,0,0,0.154545455,0,11.01,0.18,3,636,0,1
22,1,0,0.083179007,0,0,0.193181818,2,13.85,0.22,2,658,0,1
21,1,3,0.084174257,2,0,0.25,5,10.39,0.28,4,671,0,1
22,0,0,0.088860753,4,0,0.079545455,1,15.27,0.1,3,636,1,0
22,0,1,0.086863953,0,0,0.022727273,5,11.36,0.05,2,686,1,0
22,0,0,0.087078121,0,0,0.203409091,1,11.01,0.23,3,588,0,1
22,1,3,0.09047961,4,2,0.113636364,4,7.9,0.13,4,672,0,1
22,0,3,0.092066972,0,2,0.068181818,5,11.49,0.09,3,567,0,0
22,0,0,0.093648034,3,2,0.136363636,2,7.49,0.15,4,647,0,1
23,0,4,0.091859103,1,2,0.159090909,1,5.99,0.18,2,645,0,1
21,0,4,0.09374252,0,2,0.2,2,14.54,0.21,4,674,0,1
21,0,1,0.090655983,0,2,0.204545455,1,11.11,0.22,2,594,0,1
24,1,0,0.092186654,3,2,0.261363636,2,6.54,0.28,4,602,0,1
23,1,1,0.094214949,1,0,0.090909091,3,15.95,0.11,2,594,0,1
21,1,1,0.090492208,0,2,0.261363636,5,10.62,0.28,4,637,0,1
21,1,1,0.092426018,0,2,0.090909091,4,11.36,0.11,3,670,1,0
22,1,1,0.091739421,1,2,0.159090909,3,11.01,0.18,2,684,0,1
22,1,1,0.093137811,0,2,0.222727273,3,15.31,0.24,2,647,0,1
25,1,3,0.091021329,4,0,0.159090909,3,11.01,0.18,3,580,0,1
21,0,1,0.092381924,0,2,0.130681818,5,11.01,0.15,2,630,0,1
24,0,1,0.092016579,2,0,0.031818182,5,11.34,0.05,4,615,1,0
22,1,1,0.091122113,0,2,0.113636364,0,9.96,0.13,3,603,0,1
23,0,1,0.484176777,3,3,1,0,14.27,0.27,2,655,0,1
24,1,1,0.093156708,1,2,0.113636364,2,11.99,0.13,3,663,0,1
26,0,1,0.483773637,4,3,1,1,18.99,0.27,2,605,0,1
24,1,1,0.506576212,4,3,0.995454545,5,16.7,0.25,4,708,0,1
24,1,3,0.094933041,3,0,0.204545455,4,9.32,0.22,3,571,0,1
21,1,1,0.098246343,0,0,0.168181818,4,14.11,0.18,4,675,0,1
22,0,3,0.386182395,1,3,0.977272727,1,9.63,0.32,3,591,0,1
25,0,3,0.394308175,5,3,0.977272727,3,14.65,0.31,2,616,0,1
23,0,3,0.409715661,0,3,0.977272727,0,10.25,0.3,4,640,0,1
24,1,1,0.409709362,0,3,0.977272727,5,14.26,0.3,2,593,0,1
25,0,1,0.098435315,4,0,0.113636364,1,9.91,0.13,2,649,0,1
26,1,1,0.379190446,4,3,0.977272727,3,17.19,0.32,3,645,0,1
22,0,3,0.485587765,0,3,0.977272727,1,11.36,0.26,4,537,0,1
22,0,1,0.455786941,0,3,0.977272727,1,11.01,0.27,2,635,0,1
23,0,1,0.516679895,0,3,0.977272727,0,10.59,0.24,3,640,1,0
24,0,4,0.53688096,2,3,0.977272727,1,9.25,0.24,2,625,0,0
22,0,4,0.097616438,0,2,0.142045455,3,8.49,0.15,3,557,0,1
26,1,0,0.537397483,8,3,0.977272727,5,6.54,0.24,3,643,0,0
21,0,0,0.097906194,0,2,0.25,3,8.49,0.25,3,631,0,1
24,1,1,0.56085516,0,3,0.977272727,3,11.01,0.23,4,653,1,0
26,0,0,0.581062524,1,3,0.977272727,5,12.69,0.22,2,623,1,0
24,0,1,0.098687277,3,2,0.313636364,3,13.85,0.31,2,662,0,1
25,1,0,0.099014828,2,2,0.159090909,0,7.4,0.17,3,667,0,1
23,1,3,0.589433967,1,3,0.977272727,0,11.71,0.22,4,586,0,0
25,0,4,0.542776875,3,3,0.977272727,4,11.48,0.23,3,719,0,1
25,1,4,0.575695731,1,3,0.977272727,1,17.51,0.22,2,646,0,1
21,1,3,0.097660531,0,0,0.136363636,0,14.61,0.15,3,646,0,1
23,1,1,0.708643562,3,3,0.977272727,0,7.88,0.18,4,646,0,0
23,0,1,0.788610051,1,3,0.977272727,4,11.01,0.17,3,643,1,0
22,1,1,0.101717122,1,0,0.202272727,4,11.71,0.2,2,594,0,1
25,1,1,0.386465853,1,3,0.963636364,4,11.99,0.31,2,664,0,1
26,0,0,0.432663114,3,3,0.959090909,0,14.35,0.28,3,655,0,1
22,0,1,0.573761921,0,3,0.959090909,4,13.61,0.22,3,597,0,0
22,1,3,0.545013039,0,3,0.959090909,0,11.26,0.23,3,679,0,1
22,0,3,0.101364375,0,2,0.086363636,5,10.59,0.1,3,654,0,0
24,0,1,0.802278998,1,3,0.959090909,3,7.9,0.16,2,556,0,0
24,1,0,0.103430465,2,0,0.295454545,2,5.99,0.29,4,694,0,1
25,1,3,0.100457311,3,2,0.113636364,1,11.99,0.13,4,587,0,1
24,0,0,0.401363115,2,3,0.954545455,3,16.89,0.3,3,620,0,1
24,0,4,0.48502085,0,3,0.954545455,2,9.99,0.25,3,701,0,1
24,0,3,0.833969538,4,3,0.954545455,1,15.33,0.15,3,572,1,0
25,1,3,0.41198332,4,3,0.952272727,1,7.29,0.29,4,671,0,1
22,1,1,0.100740769,1,0,0.204545455,0,14.17,0.21,2,691,0,1
24,1,1,0.378913287,2,3,0.943181818,5,15.95,0.31,3,672,0,1
24,0,0,0.448102095,2,3,0.943181818,1,15.95,0.27,4,650,0,1
22,1,0,0.100079368,0,0,0.040909091,2,14.91,0.06,4,535,0,1
23,1,0,0.10086675,0,0,0.113636364,3,11.01,0.12,4,604,0,1
25,0,0,0.101547048,1,2,0.022727273,5,11.01,0.04,3,612,1,0
23,1,3,0.43062852,0,3,0.931818182,3,11.36,0.27,2,645,0,1
26,1,1,0.102655681,3,0,0.159090909,5,7.51,0.16,4,678,0,1
22,0,1,0.400613528,0,3,0.931818182,4,10.71,0.29,3,644,0,1
22,1,0,0.48815148,1,3,0.931818182,4,13.98,0.25,4,614,1,0
26,0,0,0.448259571,3,3,0.931818182,0,14.09,0.27,3,627,0,1
22,1,4,0.522468725,0,3,0.931818182,1,10,0.23,3,523,1,0
22,0,4,0.100614788,0,0,0.204545455,3,15.33,0.21,3,571,0,1
25,0,3,0.423176739,4,3,0.931818182,3,16.32,0.28,4,546,0,1
24,0,0,0.552849062,2,3,0.931818182,2,7.9,0.22,2,640,0,0
23,0,4,0.559280396,1,3,0.931818182,3,11.99,0.22,3,648,1,0
24,1,3,0.590271741,2,3,0.931818182,3,10.75,0.21,4,593,0,0
26,1,0,0.598554997,4,3,0.931818182,2,13.92,0.2,3,658,1,0
22,1,1,0.661570732,2,3,0.931818182,1,9.91,0.19,3,701,0,0
26,0,1,0.569220303,4,3,0.931818182,1,16.95,0.21,3,702,0,1
26,1,0,0.690804641,0,3,0.931818182,1,7.9,0.18,3,711,1,0
26,1,1,0.688467692,4,3,0.931818182,1,11.01,0.18,3,570,1,0
25,0,0,0.711068697,4,3,0.931818182,4,16.49,0.17,3,637,0,1
26,0,0,0.101937589,5,1,0.318181818,4,11.97,0.31,2,621,0,1
21,1,3,0.09866838,1,0,0.261363636,0,6.17,0.26,3,637,0,1
26,1,0,0.898824597,7,3,0.931818182,2,8.9,0.14,2,534,0,0
25,0,3,0.901394611,2,3,0.931818182,1,12.99,0.14,3,577,1,0
23,1,1,0.574454817,1,3,0.927272727,4,12.69,0.21,2,638,0,0
23,1,0,0.484050796,0,3,0.909090909,1,13.16,0.24,3,641,0,0
22,0,0,0.106277637,0,2,0.072727273,1,8.38,0.08,4,630,1,0
23,1,1,0.362907391,0,3,0.903409091,4,7.49,0.31,2,518,0,1
23,1,0,0.105609937,0,2,0.204545455,4,11.71,0.2,4,649,0,0
23,1,0,0.108142157,0,0,0.268181818,3,10.65,0.25,4,638,0,0
26,1,1,0.107159505,3,0,0.195454545,3,5.99,0.19,3,682,1,0
25,1,1,0.108942137,3,2,0.234090909,4,15.99,0.22,2,637,1,0
23,0,0,0.106642982,0,0,0.142045455,1,11.01,0.15,3,662,1,0
23,0,1,0.107972083,0,2,0.031818182,3,7.49,0.05,3,700,0,0
22,0,0,0.104066669,0,2,0.318181818,1,5.79,0.31,4,612,1,0
25,0,4,0.111203497,6,0,0.159090909,5,5.79,0.16,2,725,0,0
22,1,0,0.108526399,1,2,0.204545455,5,14.72,0.2,3,604,1,0
24,1,1,0.339632387,2,3,0.886363636,3,11.01,0.32,3,672,0,1
25,0,1,0.342032327,3,3,0.886363636,2,11.48,0.32,3,680,0,1
24,1,4,0.341358328,3,3,0.886363636,5,10.38,0.32,3,640,0,1
22,1,1,0.340432367,0,3,0.886363636,1,12.53,0.32,3,629,0,1
22,1,1,0.342353578,1,3,0.886363636,1,13.47,0.32,2,677,0,1
24,0,0,0.343348829,0,3,0.886363636,5,12.21,0.32,4,571,0,1
25,1,3,0.350271489,2,3,0.886363636,5,10.99,0.31,3,647,0,1
25,1,0,0.352249392,3,3,0.886363636,1,11.36,0.31,4,568,0,1
26,1,1,0.104369024,4,0,0.045454545,4,7.74,0.06,3,570,1,0
24,1,3,0.349477808,3,3,0.886363636,1,15.65,0.32,2,633,0,1
24,0,0,0.352098215,0,3,0.886363636,2,11.01,0.31,3,614,0,1
22,1,0,0.364551444,0,3,0.886363636,1,9.91,0.3,4,617,0,1
23,1,0,0.363694773,0,3,0.886363636,5,11.83,0.3,4,668,0,1
26,1,3,0.371763861,2,3,0.886363636,1,12.18,0.3,4,639,0,1
24,0,0,0.373313428,2,3,0.886363636,2,6.91,0.3,2,525,0,1
25,1,1,0.371052068,3,3,0.886363636,0,6.91,0.3,3,666,0,1
25,1,3,0.372740214,2,3,0.886363636,5,9.88,0.3,4,646,0,1
23,1,0,0.370661527,0,3,0.886363636,0,12.53,0.3,2,655,0,1
25,0,0,0.374680323,6,3,0.886363636,5,11.01,0.3,4,682,0,1
23,1,3,0.106157955,0,0,0.301136364,4,6.99,0.29,2,631,1,0
23,1,4,0.386680021,2,3,0.886363636,1,16.89,0.29,2,600,0,1
22,0,3,0.342536251,0,3,0.886363636,4,17.49,0.32,4,641,0,1
23,1,1,0.106157955,0,0,0.090909091,1,16.82,0.1,2,524,1,0
26,1,0,0.105515452,2,0,0.140909091,2,11.01,0.15,2,669,1,0
22,0,0,0.39387354,1,3,0.886363636,0,13.11,0.28,2,593,0,1
23,0,0,0.398446653,2,3,0.886363636,0,7.66,0.28,3,654,0,1
26,1,4,0.401633975,3,3,0.886363636,3,6.17,0.28,3,665,0,1
26,1,1,0.356211497,8,3,0.886363636,4,16.35,0.31,4,649,0,1
23,0,1,0.409243232,1,3,0.886363636,3,7.9,0.27,2,579,0,1
24,0,1,0.365723068,4,3,0.886363636,5,16.49,0.3,2,671,0,1
21,1,1,0.111279086,0,2,0.138636364,5,11.01,0.14,4,693,1,0
26,1,0,0.108526399,3,0,0.295454545,2,8,0.28,2,626,1,0
24,0,4,0.407939328,6,3,0.886363636,4,10.99,0.27,2,677,0,1
24,1,4,0.109924789,3,2,0.329545455,5,6.91,0.3,3,594,0,0
25,0,1,0.363719969,1,3,0.886363636,4,8.88,0.3,3,592,0,1
24,1,1,0.411655769,1,3,0.886363636,5,11.01,0.27,4,583,0,1
23,1,4,0.363663278,0,3,0.886363636,0,14.84,0.3,3,592,0,1
23,1,0,0.364097912,3,3,0.886363636,4,11.12,0.3,2,628,0,1
22,1,1,0.406679517,1,3,0.886363636,1,7.88,0.28,3,567,0,1
25,0,0,0.409614876,1,3,0.886363636,1,11.01,0.27,2,654,0,1
22,1,0,0.110466508,0,0,0.25,1,15.99,0.23,4,623,0,0
24,1,0,0.110397218,1,0,0.227272727,0,10.99,0.22,4,661,1,0
25,1,1,0.411114051,1,3,0.886363636,1,11.01,0.27,3,658,0,1
25,1,3,0.362542046,1,3,0.886363636,4,15.65,0.31,3,667,0,1
24,0,3,0.36331683,4,3,0.886363636,4,17.04,0.3,3,602,0,1
23,0,1,0.411240032,3,3,0.886363636,1,12.21,0.27,2,687,0,1
21,1,0,0.109704322,1,2,0.035227273,1,15.23,0.05,3,626,1,0
25,0,3,0.365137256,6,3,0.886363636,0,14.11,0.3,4,662,0,1
24,0,3,0.410710911,1,3,0.886363636,4,11.14,0.27,2,536,0,1
21,1,0,0.111556244,0,2,0.086363636,3,11.49,0.09,4,623,0,0
24,0,1,0.409803847,3,3,0.886363636,4,13.87,0.27,4,647,0,1
26,1,3,0.407233833,3,3,0.886363636,2,10.08,0.28,4,606,0,1
23,1,3,0.36724114,2,3,0.886363636,4,16.7,0.3,4,645,0,1
24,1,3,0.371335525,2,3,0.886363636,5,18.64,0.3,2,632,0,1
24,0,1,0.415101352,0,3,0.886363636,2,12.18,0.27,4,634,0,1
22,1,3,0.111140507,2,2,0.15,0,11.01,0.15,3,645,0,0
25,0,3,0.425677463,2,3,0.886363636,3,6.54,0.26,3,574,0,1
24,1,3,0.380141603,3,3,0.886363636,1,14.61,0.29,4,576,0,1
21,0,1,0.378699119,0,3,0.886363636,5,17.39,0.29,3,664,0,1
24,1,3,0.425085352,2,3,0.886363636,2,11.12,0.26,2,562,0,1
25,0,1,0.427088451,2,3,0.886363636,5,11.48,0.26,2,637,0,1
25,0,4,0.43295287,2,3,0.886363636,3,12.42,0.26,3,656,0,1
26,1,1,0.393590083,4,3,0.886363636,0,10.25,0.28,2,590,0,1
23,0,1,0.446514733,1,3,0.886363636,3,10.65,0.25,3,653,0,1
24,0,0,0.113332577,3,2,0.204545455,4,16.29,0.19,3,612,0,0
23,0,1,0.449424896,0,3,0.886363636,3,10.37,0.25,2,703,0,1
23,1,1,0.444694307,1,3,0.886363636,5,11.49,0.25,3,596,0,1
25,1,4,0.114220744,4,2,0.221590909,5,13.49,0.21,2,650,1,0
26,0,1,0.402232385,6,3,0.886363636,4,11.01,0.28,4,610,0,1
23,1,4,0.404770903,2,3,0.886363636,1,12.29,0.28,4,650,0,1
21,0,1,0.112557794,0,0,0.136363636,0,17.27,0.14,2,579,0,1
26,1,0,0.447850133,2,3,0.886363636,0,11.99,0.25,2,534,0,1
25,0,0,0.401589881,4,3,0.886363636,4,14.84,0.28,2,540,0,1
23,1,3,0.401174144,0,3,0.886363636,0,10.83,0.28,2,584,0,1
23,0,0,0.450628016,5,3,0.886363636,0,13.22,0.25,2,584,0,1
22,0,3,0.461607267,1,3,0.886363636,1,12.18,0.25,2,639,0,0
23,1,1,0.463484385,1,3,0.886363636,3,11.11,0.25,2,607,1,0
24,0,4,0.463856029,4,3,0.886363636,2,13.48,0.24,2,681,0,0
26,1,3,0.468851179,6,3,0.886363636,1,10.75,0.24,4,710,0,0
25,1,3,0.47077239,4,3,0.886363636,4,12.53,0.24,4,634,1,0
24,1,3,0.427642768,2,3,0.886363636,0,14.84,0.26,4,595,0,1
23,1,1,0.48142409,1,3,0.886363636,5,17.74,0.24,2,707,1,0
25,1,1,0.485411391,1,3,0.886363636,2,9.99,0.24,2,627,1,0
22,1,1,0.483710647,0,3,0.886363636,4,6.91,0.24,4,592,1,0
25,0,1,0.440820389,6,3,0.886363636,2,11.01,0.26,4,699,0,1
25,1,3,0.493373395,2,3,0.886363636,4,14.09,0.23,2,566,1,0
22,1,3,0.114919939,0,0,0.113636364,0,11.49,0.11,3,667,1,0
23,0,3,0.49247893,1,3,0.886363636,1,14.09,0.23,3,638,0,0
23,0,0,0.375581088,0,3,0.886363636,3,15.2,0.3,4,620,0,1
24,1,3,0.49926931,1,3,0.886363636,3,11.83,0.23,2,667,1,0
24,0,1,0.112286935,4,1,0.25,4,12.21,0.23,2,655,0,0
23,1,0,0.454665709,0,3,0.886363636,5,14.11,0.25,3,666,0,1
22,1,3,0.45465941,0,3,0.886363636,0,14.42,0.25,2,655,0,1
24,1,3,0.500510223,3,3,0.886363636,2,14.74,0.23,3,604,1,0
24,0,4,0.516031092,0,3,0.886363636,2,12.69,0.22,3,672,1,0
22,0,1,0.11424594,0,0,0.051136364,0,16.89,0.06,3,596,0,1
25,1,3,0.523949003,0,3,0.886363636,0,11.01,0.22,4,658,1,0
21,1,0,0.114088464,0,0,0.181818182,2,11.01,0.17,2,608,0,1
25,1,1,0.116904141,2,0,0.363636364,5,9.63,0.32,4,686,1,0
24,0,0,0.522827771,0,3,0.886363636,2,8.88,0.22,3,687,0,0
26,0,1,0.522682893,3,3,0.886363636,3,6.91,0.22,4,652,1,0
26,0,1,0.521593157,4,3,0.886363636,1,11.01,0.22,3,603,0,0
25,0,0,0.523640349,0,3,0.886363636,4,10.38,0.22,3,622,1,0
22,1,3,0.477210023,1,3,0.886363636,0,10.99,0.24,4,660,0,1
22,1,4,0.523029341,1,3,0.886363636,5,11.01,0.22,2,572,1,0
21,0,1,0.118970231,0,0,0.321590909,4,11.01,0.28,3,641,1,0
26,0,1,0.118371821,4,2,0.213636364,1,12.42,0.19,3,674,0,0
24,1,1,0.476038399,1,3,0.886363636,2,14.82,0.24,4,693,0,1
23,0,1,0.52622926,4,3,0.886363636,4,16.32,0.22,3,628,0,0
23,0,0,0.404896884,2,3,0.886363636,3,16,0.28,3,688,0,1
23,1,0,0.531035438,0,3,0.886363636,3,10.37,0.22,3,635,1,0
26,1,4,0.486331053,2,3,0.886363636,0,13.16,0.23,3,662,0,1
24,0,0,0.486488529,5,3,0.886363636,5,14.88,0.23,4,652,0,1
22,0,0,0.53621956,2,3,0.886363636,0,13.98,0.21,4,619,1,0
26,1,4,0.4933419,2,3,0.886363636,2,13.36,0.23,2,655,0,1
21,0,3,0.119341875,0,2,0.301136364,5,6.99,0.26,3,653,0,0
22,0,3,0.117861597,0,0,0.160227273,1,5.42,0.15,4,565,1,0
24,1,1,0.118226942,2,0,0.340909091,3,5.42,0.3,2,613,1,0
26,0,1,0.546833466,4,3,0.886363636,2,13.85,0.21,4,663,0,0
22,0,0,0.120431611,0,0,0.159090909,4,12.99,0.15,2,540,1,0
26,1,1,0.11997178,5,2,0.168181818,3,9.99,0.16,3,598,1,0
22,0,1,0.119064716,4,0,0.040909091,5,11.01,0.05,2,653,1,0
21,1,1,0.120135556,0,0,0.15,0,5.99,0.14,2,643,0,0
24,0,4,0.500440934,6,3,0.886363636,0,11.01,0.23,4,632,0,1
23,0,3,0.543671341,0,3,0.886363636,5,11.58,0.21,3,578,0,0
23,1,4,0.550247553,2,3,0.886363636,3,13.85,0.21,4,642,1,0
23,1,4,0.555803318,0,3,0.886363636,1,16.89,0.21,4,688,0,0
23,1,4,0.560420525,2,3,0.886363636,3,7.9,0.21,4,696,0,0
23,0,0,0.120948134,0,2,0.25,5,12.68,0.22,4,527,1,0
22,1,0,0.4334253,0,3,0.886363636,3,14.91,0.26,4,611,0,1
24,1,3,0.561604747,0,3,0.886363636,5,13.06,0.21,4,545,1,0
25,1,3,0.55918591,3,3,0.886363636,1,8.88,0.21,4,644,1,0
23,1,1,0.119392267,0,0,0.068181818,1,6.17,0.07,4,511,1,0
22,0,3,0.558556005,1,3,0.886363636,1,13.98,0.21,4,616,1,0
22,1,3,0.118875745,3,2,0.363636364,5,6.54,0.32,4,656,0,0
26,1,1,0.430981267,2,3,0.886363636,3,13.85,0.26,3,656,0,1
26,0,0,0.120293032,2,0,0.022727273,2,10.36,0.04,3,581,1,0
25,1,0,0.559217406,2,3,0.886363636,2,14.26,0.21,4,664,0,0
23,0,3,0.565547955,0,3,0.886363636,3,11.71,0.2,2,563,1,0
22,0,1,0.568521108,0,3,0.886363636,0,13.49,0.2,4,623,1,0
24,1,4,0.118088363,1,0,0.068181818,0,14.84,0.07,2,704,0,1
22,0,1,0.576105169,0,3,0.886363636,1,11.01,0.2,2,691,0,0
23,0,0,0.529347292,2,3,0.886363636,2,15.05,0.22,4,648,0,1
22,1,4,0.535860514,0,3,0.886363636,1,13.79,0.21,4,662,0,1
24,0,3,0.587078121,6,3,0.886363636,1,13.48,0.2,3,569,0,0
26,0,1,0.118195447,4,2,0.113636364,5,6.76,0.11,2,642,0,0
23,1,4,0.593572445,1,3,0.886363636,4,11.11,0.2,4,663,1,0
25,0,1,0.591159908,3,3,0.886363636,1,13.92,0.2,2,627,1,0
23,0,1,0.117653728,1,2,0.177272727,1,12.53,0.16,2,610,1,0
24,0,4,0.553101024,5,3,0.886363636,2,14.11,0.21,2,678,0,1
23,0,1,0.600142359,0,3,0.886363636,3,7.49,0.19,2,597,1,0
25,1,3,0.599455762,3,3,0.886363636,0,10.25,0.19,3,653,1,0
26,1,1,0.508157275,2,3,0.886363636,4,12.53,0.23,2,571,0,1
21,0,3,0.12150245,0,0,0.045454545,4,11.86,0.05,3,659,1,0
25,0,0,0.598252642,0,3,0.886363636,2,11.01,0.19,2,663,0,0
24,1,0,0.123196896,0,0,0.159090909,5,11.01,0.15,2,621,1,0
22,0,0,0.615096313,1,3,0.886363636,0,13.85,0.19,4,575,1,0
22,0,0,0.636311526,1,3,0.886363636,4,11.01,0.18,4,639,1,0
23,1,3,0.545283898,1,3,0.886363636,2,18.25,0.21,2,611,0,1
24,0,1,0.637325674,1,3,0.886363636,0,6.54,0.18,3,630,0,0
23,1,4,0.635171397,0,3,0.886363636,3,11.49,0.18,4,560,1,0
26,1,4,0.636765058,5,3,0.886363636,3,11.49,0.18,3,537,1,0
22,0,1,0.122655177,1,0,0.295454545,1,11.71,0.25,2,694,0,0
23,1,4,0.636588684,0,3,0.886363636,0,13.57,0.18,4,657,1,0
25,1,3,0.644512894,1,3,0.886363636,1,14.35,0.18,3,572,1,0
26,1,1,0.121628431,1,0,0.151136364,0,10.65,0.14,4,618,1,0
22,0,1,0.651101705,1,3,0.886363636,5,15.65,0.18,2,649,0,0
25,0,1,0.123272484,0,0,0.244318182,1,6.62,0.21,2,680,0,1
25,1,0,0.654055961,1,3,0.886363636,3,9.25,0.18,2,606,1,0
22,1,3,0.120450508,2,0,0.086363636,3,11.71,0.09,3,612,1,0
26,0,1,0.661759704,0,3,0.886363636,0,9.45,0.18,4,606,1,0
23,1,1,0.123877194,0,0,0.047727273,0,7.49,0.06,2,658,0,1
22,1,0,0.669381559,0,3,0.886363636,4,11.01,0.18,2,602,1,0
23,1,1,0.58215856,4,3,0.886363636,0,11.01,0.2,2,571,0,1
23,1,3,0.674817642,4,3,0.886363636,1,10.99,0.17,2,701,0,0
24,0,1,0.673847588,3,3,0.886363636,2,11.01,0.17,3,665,0,0
21,1,1,0.123763811,0,2,0.311363636,5,7.66,0.27,2,635,1,0
23,0,1,0.68215604,0,3,0.886363636,3,13.04,0.17,3,643,1,0
22,1,0,0.12210716,3,0,0.304545455,4,7.14,0.26,2,636,0,0
